"repo","repo_url","stars","path","raw_url","version_hint","matched_query"
"di-unipi-socc/FogArm","https://github.com/di-unipi-socc/FogArm","0","experiments/docker-swarm-demo/customers-service/swagger.json","https://raw.githubusercontent.com/di-unipi-socc/FogArm/35a64a296e2bd8804bdd7b1ecf47350a274bd694/experiments/docker-swarm-demo/customers-service/swagger.json","swagger-2.0","filename:swagger.json swagger"
"Diablodadayu/swagger","https://github.com/Diablodadayu/swagger","0","docs/swagger.json","https://raw.githubusercontent.com/Diablodadayu/swagger/972252cb506718cda0b93cf8c765f5b863238def/docs/swagger.json","swagger-2.0","filename:swagger.json swagger"
"Diacrome/super-scoring","https://github.com/Diacrome/super-scoring","0","docs/openapi.json","https://raw.githubusercontent.com/Diacrome/super-scoring/8a80b3a2529da42d29b9951222db7f21e4d475b9/docs/openapi.json","openapi-3","filename:openapi.json openapi"
"diamondburned/e2clicker","https://github.com/diamondburned/e2clicker","0","openapi/_base.yml","https://raw.githubusercontent.com/diamondburned/e2clicker/7b9de4d1ff914fc7aa6a3250754b4cbcd1e621b2/openapi/_base.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"diamondburned/e2clicker","https://github.com/diamondburned/e2clicker","0","openapi/_dosage.yml","https://raw.githubusercontent.com/diamondburned/e2clicker/7b9de4d1ff914fc7aa6a3250754b4cbcd1e621b2/openapi/_dosage.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"diamondburned/e2clicker","https://github.com/diamondburned/e2clicker","0","openapi/_notification.yml","https://raw.githubusercontent.com/diamondburned/e2clicker/7b9de4d1ff914fc7aa6a3250754b4cbcd1e621b2/openapi/_notification.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"Dicklesworthstone/ntm","https://github.com/Dicklesworthstone/ntm","0","docs/openapi.json","https://raw.githubusercontent.com/Dicklesworthstone/ntm/f04b6cdcfb3a9235202adf124ce2fdbd6734f28c/docs/openapi.json","openapi-3","filename:openapi.json openapi"
"Dictionarry-Hub/profilarr","https://github.com/Dictionarry-Hub/profilarr","0","docs/api/v1/openapi.yaml","https://raw.githubusercontent.com/Dictionarry-Hub/profilarr/7c1c3a506a834fc17acfcbbdc7ae2693ad37cc36/docs/api/v1/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"DiegoVSC42/Cursos","https://github.com/DiegoVSC42/Cursos","0","Alura/Ferramentas essenciais para devs/Modulo 3/Curso 1/openapi.yml","https://raw.githubusercontent.com/DiegoVSC42/Cursos/main/Alura/Ferramentas essenciais para devs/Modulo 3/Curso 1/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"dielect/lobechat-template-plugin","https://github.com/dielect/lobechat-template-plugin","0","public/searxng/openapi.json","https://raw.githubusercontent.com/dielect/lobechat-template-plugin/d7693fc6577d2702986af5dac476fd6d2771b8f2/public/searxng/openapi.json","openapi-3","filename:openapi.json openapi"
