"repo","repo_url","stars","path","raw_url","version_hint","matched_query"
"diamondburned/e2clicker","https://github.com/diamondburned/e2clicker","6","openapi/_dosage.yml","https://raw.githubusercontent.com/diamondburned/e2clicker/v2/openapi/_dosage.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"diamondburned/e2clicker","https://github.com/diamondburned/e2clicker","6","openapi/_notification.yml","https://raw.githubusercontent.com/diamondburned/e2clicker/v2/openapi/_notification.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"eai04191/resonite-api-spec","https://github.com/eai04191/resonite-api-spec","6","openapi/components/paths/users.yml","https://raw.githubusercontent.com/eai04191/resonite-api-spec/main/openapi/components/paths/users.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"ed-marquez/hedera-plugin-chatgpt","https://github.com/ed-marquez/hedera-plugin-chatgpt","6","openapi.yaml","https://raw.githubusercontent.com/ed-marquez/hedera-plugin-chatgpt/main/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"fauna/js-sample-app","https://github.com/fauna/js-sample-app","6","openapi.yml","https://raw.githubusercontent.com/fauna/js-sample-app/main/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"formancehq/flows","https://github.com/formancehq/flows","6","openapi/v1.yaml","https://raw.githubusercontent.com/formancehq/flows/main/openapi/v1.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"formbricks/hub-legacy","https://github.com/formbricks/hub-legacy","6","openapi.yaml","https://raw.githubusercontent.com/formbricks/hub-legacy/main/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"GuinsooLab/luden","https://github.com/GuinsooLab/luden","6","openapi/configurator.yaml","https://raw.githubusercontent.com/GuinsooLab/luden/main/openapi/configurator.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"GuinsooLab/luden","https://github.com/GuinsooLab/luden","6","openapi/server.yaml","https://raw.githubusercontent.com/GuinsooLab/luden/main/openapi/server.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"gunk/gunk-example-server","https://github.com/gunk/gunk-example-server","6","api/v1/all.swagger.json","https://raw.githubusercontent.com/gunk/gunk-example-server/master/api/v1/all.swagger.json","swagger-2.0","filename:swagger.json swagger"
"gyselroth/tubee","https://github.com/gyselroth/tubee","6","src/lib/Rest/v1/openapi.yml","https://raw.githubusercontent.com/gyselroth/tubee/master/src/lib/Rest/v1/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"knakayama/aws-lambda-playground","https://github.com/knakayama/aws-lambda-playground","6","aws-sam/image-resizing/src/api/swagger.yml","https://raw.githubusercontent.com/knakayama/aws-lambda-playground/master/aws-sam/image-resizing/src/api/swagger.yml","swagger-2.0","filename:swagger.yml ""swagger: 2.0"""
"knakayama/aws-lambda-playground","https://github.com/knakayama/aws-lambda-playground","6","aws-sam/swagger-external/src/api/swagger.yml","https://raw.githubusercontent.com/knakayama/aws-lambda-playground/master/aws-sam/swagger-external/src/api/swagger.yml","swagger-2.0","filename:swagger.yml ""swagger: 2.0"""
"knakayama/aws-lambda-playground","https://github.com/knakayama/aws-lambda-playground","6","aws-sam/swagger-inline2/src/templates/swagger.yml","https://raw.githubusercontent.com/knakayama/aws-lambda-playground/master/aws-sam/swagger-inline2/src/templates/swagger.yml","swagger-2.0","filename:swagger.yml ""swagger: 2.0"""
"knakayama/aws-lambda-playground","https://github.com/knakayama/aws-lambda-playground","6","aws-sam/test1/swagger.yml","https://raw.githubusercontent.com/knakayama/aws-lambda-playground/master/aws-sam/test1/swagger.yml","swagger-2.0","filename:swagger.yml ""swagger: 2.0"""
"knakayama/aws-lambda-playground","https://github.com/knakayama/aws-lambda-playground","6","serverless/api-gateway/test13/swagger.yml","https://raw.githubusercontent.com/knakayama/aws-lambda-playground/master/serverless/api-gateway/test13/swagger.yml","swagger-2.0","filename:swagger.yml ""swagger: 2.0"""
"krakend/krakend-schema","https://github.com/krakend/krakend-schema","6","v2.4/documentation/openapi.json","https://raw.githubusercontent.com/krakend/krakend-schema/main/v2.4/documentation/openapi.json","openapi-3","filename:openapi.json openapi"
